date,location,competition,home_team_abbreviation,home_team_fullname,away_team_abbreviation,away_team_fullname,result,home_team_score,away_team_score
1963-09-07,"ANZ NATIONAL STADIUM (BUCKHURST PK), SUVA",SOUTH PACIFIC GAMES,SAMOA,SAMOA,TONGA,TONGA,FT,6,29
1963-09-05,"ANZ NATIONAL STADIUM (BUCKHURST PK), SUVA",SOUTH PACIFIC GAMES,FIJI,FIJI,SAMOA,SAMOA,FT,42,3
1963-09-03,"ANZ NATIONAL STADIUM (BUCKHURST PK), SUVA",SOUTH PACIFIC GAMES,SAMOA,SAMOA,TONGA,TONGA,FT,5,16
1963-08-31,"CHURCHILL PARK, LAUTOKA",SOUTH PACIFIC GAMES,FIJI,FIJI,TONGA,TONGA,FT,8,5
1963-08-30,"ANZ NATIONAL STADIUM (BUCKHURST PK), SUVA",SOUTH PACIFIC GAMES,FIJI,FIJI,SAMOA,SAMOA,FT,29,6
1963-08-24,"EMIRATES AIRLINES PARK, JOHANNESBURG",AUSTRALIA TOUR 1963,SA,SOUTH AFRICA,AUS,AUSTRALIA,FT,9,11
1963-08-15,"CRICKET CLUB, MONTEVIDEO",BRAZIL TOUR 1963,URUG,URUGUAY,BRA,BRAZIL,FT,28,0
1963-08-10,"DHL NEWLANDS STADIUM, CAPE TOWN",AUSTRALIA TOUR 1963,SA,SOUTH AFRICA,AUS,AUSTRALIA,FT,5,9
1963-07-13,"LOFTUS VERSFELD, PRETORIA",AUSTRALIA TOUR 1963,SA,SOUTH AFRICA,AUS,AUSTRALIA,FT,14,3
1963-07-01,"ANZ NATIONAL STADIUM (BUCKHURST PK), SUVA",TONGA TOUR 1963,SAMOA,SAMOA,TONGA,TONGA,FT,8,12
1963-06-04,"SPORTS GROUND, SYDNEY",ENGLAND TOUR IN AUSTRALIA/NEW ZEALAND 1963,AUS,AUSTRALIA,ENG,ENGLAND,FT,18,9
1963-06-01,"JADE STADIUM (LANCASTER PARK), CHRISTCHURCH",ENGLAND TOUR IN AUSTRALIA/NEW ZEALAND 1963,NZL,NEW ZEALAND,ENG,ENGLAND,FT,9,6
1963-05-26,"STADIONUL DINAMO, BUCHAREST",PEACE CUP,ROM,ROMANIA,CZE,CZECH REPUBLIC,FT,23,3
1963-05-25,"EDEN PARK, AUCKLAND",ENGLAND TOUR IN AUSTRALIA/NEW ZEALAND 1963,NZL,NEW ZEALAND,ENG,ENGLAND,FT,21,11
1963-05-22,"STADIONUL, BARLAD",PEACE CUP,ROM,ROMANIA,EG,EAST GERMANY,FT,15,0
1963-05-20,"STADIONUL, BARLAD",PEACE CUP,BUL,BULGARIA,ROM,ROMANIA,FT,3,70
1963-05-20,", HUNEDVARA",PEACE CUP,POL,POLAND,CZE,CZECH REPUBLIC,FT,0,0
1963-05-15,", PITESTI",PEACE CUP,POL,POLAND,EG,EAST GERMANY,FT,6,11
1963-04-14,"STADION DE SC FRANKFURT 1880, FRANKFURT",FRANCE XV TOUR IN GERMANY 1963,,WEST GERMANY,FRA,FRANCE,FT,9,16
1963-04-14,"PARC LESDIGUIERES, GRENOBLE",ITALY TOUR IN FRANCE 1963,FRA,FRANCE,ITALY,ITALY,FT,14,12
1963-04-13,"BROCKTON OVAL, VANCOUVER",JAPAN TOUR IN CANADA 1963,BC,BRITISH COLUMBIA BEARS,JPN,JAPAN,FT,6,33
1963-03-23,"STADE YVES DU MANOIR, COLOMBES",SIX NATIONS,FRA,FRANCE,WALES,WALES,FT,5,3
